-----------------
The true orbital parameters, 68% confidence intervals and 95% confidence intervals for the TERTIARY stars in 
the triple systems used for testing FOBOS: Few Observation Binary Orbit Solver (Houghton & Goodwin)

1: Index
2: Semi-major axis (au)
3: Lower limit on 68% C.I. for semi-major axis
4: Upper limit on 68% C.I. for semi-major axis
5: Lower limit on 95% C.I. for semi-major axis
6: upper limit on 95% C.I. for semi-major axis
7: Eccentricity
8: Lower limit on 68% C.I. for eccentricity
9: Upper limit on 68% C.I. for eccentricity
10: Lower limit on 95% C.I. for eccentricity
11: upper limit on 95% C.I. for eccentricity
12: Inclination (rad)
13: Lower limit on 68% C.I. for inclination
14: upper limit on 68% C.I. for inclination
15: Lower limit on 95% C.I. for inclination
16: upper limit on 95% C.I. for inclination
-----------------

T1,307.425659,142.528488,1134.27209,130.052551,4428.81055,0.190682784,0.0374426357,0.517557561,0.000340567931,0.786128461,3.476260208821454,1.1323415268160653,3.6250272793918406,0.6892373794946904,4.667338051368698
T2,449.436584,212.020233,454.10791,196.059082,1223.45178,0.685418844,0.0167063139,0.440823823,0.00130878785,0.767727554,-31.344434774979486,32.025981765978905,52.84339776842269,23.17284085726846,65.70099645609592
T3,281.553223,142.534912,270.502167,126.410881,833.421448,0.233012781,0.00304819224,0.380390614,0.00098117115,0.787396252,31.065199553634795,29.495806502512714,42.728017372530864,21.5159479262094,49.261912960981725
T4,2810.28442,144.498901,3172.06616,144.498901,11482.5098,0.42731908,0.0124441497,0.465598553,0.00107044738,0.774760365,-1.7518989133460843,1.0262190632245354,2.869082646886313,0.6710233433959572,4.682229573968403
T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,775.23053,241.966873,501.882568,221.607376,2206.30176,0.474751115,0.000252395548,0.300037473,0.000252395548,0.769749701,33.163648826638735,31.876766080914088,54.60637205908106,21.561283326340686,64.01500569152381
T7,160.681244,94.9291,1128.87866,94.9291,5380.13086,0.0886035711,0.0519408658,0.549176574,0.000588190684,0.771809578,-7.9348459232980275,1.275725229182851,6.73313816666506,1.2031784819972884,10.195804991904081
T8,152.876755,144.011444,330.862122,137.410767,1256.24548,0.142675161,0.00113168685,0.452027708,0.00113168685,0.830134511,84.31272943592312,41.6714315175165,71.1575731960536,27.774069531355963,81.3334485958992
T9,1214.18408,254.312805,677.141846,254.312805,2329.2417,0.763504982,0.280509919,0.728413761,0.200708702,0.917632937,-48.64829555969412,44.281164835625574,70.28927857584465,33.05093020934907,83.96203342867945
T10,739.0,180.621185,871.682678,146.343964,3321.50342,0.295030683,0.00343579194,0.424066335,0.000214490428,0.753265381,13.08946760268602,8.391243419122837,19.551612889664025,5.367043977115691,26.772261764711324
T11,184.348694,41.8790665,279.101593,41.387516,1290.85571,0.144081384,0.00211420516,0.378405005,0.000206081371,0.738678277,4.308293791218959,2.4604507860583045,6.1071841819073756,1.492975085945827,8.152124468057805
T12,564.535767,233.941391,1205.70337,210.222839,3627.63184,0.534055054,0.0030489713,0.407082707,4.69200568e-05,0.700022578,16.237878307268566,7.872339436412907,17.338032216799352,5.250317325243439,21.07101749310478
T13,312.790649,121.984894,1221.88147,121.984894,3719.88428,0.509771526,2.72992493e-05,0.406694174,2.72992493e-05,0.707094967,-10.427005207874169,2.5021369205895763,9.327968852522787,2.4138915194287294,13.565681187630105
T14,1340.76562,89.0008316,1490.46289,56.8980064,5597.43701,0.550696909,0.00563107012,0.396708965,0.00563107012,0.718766451,2.2893782393403566,1.4007757488774062,3.369946606509469,0.9152569798361404,5.789251276487989
T15,2954.16382,325.754303,1234.33826,283.809906,4280.80908,0.780528009,0.000289144344,0.331139326,0.00082677172,0.716470242,14.336042824818989,12.672267696612156,23.895910271568347,8.81567393797969,29.759096652193595
T16,447.556946,127.252892,295.760406,113.266632,1175.51318,0.568758845,0.000717214367,0.378496826,0.000237054512,0.7805444,27.336375612499623,29.62557330710916,52.072699690416506,17.082856352708898,65.50147307126635
T17,326.027649,129.603546,304.95755,115.353523,975.937622,0.0215876196,0.00044070938,0.437983662,0.000102319471,0.76234585,29.703621847144998,25.659559048143144,45.543435033344785,18.946830325689998,62.40131876295043
T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T19,503.889832,100.857788,533.745972,87.2028656,1769.80933,0.101388067,0.000778237008,0.406022698,0.000559870678,0.733827055,-11.001635867879434,8.42042880058699,17.93190182553686,6.60398310910648,25.14664940718165
T20,323.87384,319.229492,842.114624,300.954773,1239.57837,0.721643031,0.652451158,0.826381624,0.568405807,0.931279361,-56.95841256680145,49.62023492188703,76.23853026467943,27.739981751109333,84.16621496038346
T21,999.722717,95.3847961,916.585022,85.3003006,4839.41699,0.423178196,0.000115588438,0.490658522,0.000115588438,0.777014554,-0.5241833481875157,0.28460149649838895,1.1036355219503637,0.18964054926701895,1.4735435202620184
T22,731.065796,157.462799,810.673584,114.504448,2614.52661,0.111297019,0.00339877,0.390843779,0.00030863547,0.763789654,-2.5452806654812385,2.0218072870593615,4.076786234957986,1.2766543490025912,5.414124469181074
T23,542.299438,99.2609787,2012.20984,88.8692017,7019.95312,0.592099607,0.00352259912,0.514960647,0.00081683218,0.873072982,0.06264650860292534,0.015446472789701222,0.06474337656971049,0.012290925437414084,0.10375063375181906
T24,650.329285,161.217758,1078.57031,151.063263,5853.04395,0.166827261,0.000166883299,0.405123949,0.000166883299,0.785971344,-3.316990655708559,1.7757305084175998,5.184697987305262,1.0976512069633406,6.328393961986884
